enc;p5_1;p5_2;p5_3;p5_4;p5_5;p5_6;p5_7;p5_8;p5_9;p5_10;p5_11;p7_1;p7_2;p7_3;p7_4;p7_5;p7_6;p7_7;p8
1;9;8;8;9;9;9;8;7;8;7;7;10;10;10;9;10;10;10;8
2;10;10;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10
3;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
4;10;10;10;10;5;10;10;10;10;10;10;8;10;10;10;10;10;10;10
5;10;10;10;10;10;9;10;10;10;9;9;10;10;10;10;10;10;10;10
6;10;10;10;10;6;10;10;10;10;10;10;10;10;10;10;10;10;10;10
7;10;9;7;8;5;6;6;10;10;10;10;9;9;9;9;7;7;7;9
8;9;9;9;9;9;10;10;10;10;10;10;10;10;10;10;10;10;10;10
9;10;10;10;10;8;9;8;10;10;9;9;9;9;9;9;9;9;9;10
10;10;10;10;9;7;10;10;10;10;10;10;9;9;9;9;9;10;10;10
11;5;8;8;9;9;9;9;9;9;9;9;8;9;9;9;9;9;9;7
12;10;10;10;10;6;9;10;10;10;10;10;10;10;10;10;10;8;9;10
13;8;8;8;8;8;8;8;8;8;8;8;9;9;9;9;8;8;9;9
14;10;10;10;10;10;9;9;10;10;10;10;9;10;10;10;9;10;10;10
15;8;8;8;8;8;8;8;9;9;8;8;9;9;9;9;9;9;9;10
16;8;8;8;8;8;8;8;8;8;8;7;8;8;9;9;8;8;9;10
17;9;9;9;9;8;9;9;9;9;8;8;10;10;10;10;10;9;10;9
18;7;7;7;7;8;8;8;8;8;8;8;8;8;8;8;7;7;8;8
19;10;10;10;9;10;10;10;9;9;9;9;10;10;10;10;10;10;10;10
20;10;10;10;10;10;8;10;10;10;10;10;9;9;10;10;10;10;10;10
21;9;9;9;9;9;9;9;9;9;9;9;9;8;8;8;9;9;9;9
22;9;9;8;8;8;8;8;7;7;8;8;9;10;10;8;8;8;9;9
23;10;10;10;10;9;9;9;9;9;10;10;8;10;10;9;9;9;10;9
24;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
25;9;9;9;9;1;9;9;9;9;9;9;8;9;9;9;9;9;9;8
26;9;9;10;10;10;10;10;10;10;10;10;8;9;9;10;9;10;9;9
